gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_Yes,MultipleLines_NoService,OnlineSecurity_Yes,OnlineSecurity_NoInternet,OnlineBackup_Yes,OnlineBackup_NoInternet,DeviceProtection_Yes,DeviceProtection_NoInternet,TechSupport_Yes,TechSupport_NoInternet,StreamingTV_Yes,StreamingTV_NoInternet,StreamingMovies_Yes,StreamingMovies_NoInternet,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,1,0,1,0,1,29.85,29.85,0,1,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,0
1,0,0,0,34,1,0,56.95,1889.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False,False,True,False,False,False,True,0
1,0,0,0,2,1,1,53.85,108.15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,1
1,0,0,0,45,0,0,42.3,1840.75,0,1,1,0,0,0,1,0,1,0,0,0,0,0,False,False,True,False,False,False,False,0
0,0,0,0,2,1,1,70.7,151.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,True,False,1
0,0,0,0,8,1,1,99.65,820.5,1,0,0,0,0,0,1,0,0,0,1,0,1,0,True,False,False,False,False,True,False,1
1,0,0,1,22,1,1,89.1,1949.4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,True,False,False,False,True,False,False,0
0,0,0,0,10,0,0,29.75,301.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,0
0,0,1,0,28,1,1,104.8,3046.05,1,0,0,0,0,0,1,0,1,0,1,0,1,0,True,False,False,False,False,True,False,1
1,0,0,1,62,1,0,56.15,3487.95,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,0
1,0,1,1,13,1,1,49.95,587.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,0
1,0,0,0,16,1,0,18.95,326.8,0,0,0,1,0,1,0,1,0,1,0,1,0,1,False,True,False,True,True,False,False,0
1,0,1,0,58,1,0,100.35,5681.1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,True,False,True,False,True,False,False,0
1,0,0,0,49,1,1,103.7,5036.3,1,0,0,0,1,0,1,0,0,0,1,0,1,0,True,False,False,False,False,False,False,1
1,0,0,0,25,1,1,105.5,2686.05,0,0,1,0,0,0,1,0,1,0,1,0,1,0,True,False,False,False,False,True,False,0
0,0,1,1,69,1,0,113.25,7895.15,1,0,1,0,1,0,1,0,1,0,1,0,1,0,True,False,False,True,True,False,False,0
0,0,0,0,52,1,0,20.65,1022.95,0,0,0,1,0,1,0,1,0,1,0,1,0,1,False,True,True,False,False,False,True,0
1,0,0,1,71,1,0,106.7,7382.25,1,0,1,0,0,0,1,0,0,0,1,0,1,0,True,False,False,True,False,False,False,0
0,0,1,1,10,1,0,55.2,528.35,0,0,0,0,0,0,1,0,1,0,0,0,0,0,False,False,False,False,True,False,False,1
0,0,0,0,21,1,1,90.05,1862.9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,True,False,False,False,False,True,False,0
1,1,0,0,1,0,1,39.65,39.65,0,1,0,0,0,0,1,0,0,0,0,0,1,0,False,False,False,False,False,True,False,1
1,0,1,0,12,1,0,19.8,202.25,0,0,0,1,0,1,0,1,0,1,0,1,0,1,False,True,True,False,False,False,False,0
1,0,0,0,1,1,0,20.15,20.15,0,0,0,1,0,1,0,1,0,1,0,1,0,1,False,True,False,False,False,False,True,1
0,0,1,0,58,1,1,59.9,3505.1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,False,False,False,True,True,False,False,0
1,0,1,1,49,1,0,59.6,2970.3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,0
